title,primary_author,publisher,publication_year,num_pages,weighted_rating,ratings_count,text_reviews_count,isbn13
harry potter and the chamber of secrets (harry potter  #2),j.k. rowling,scholastic,2003,352,4.235483466,6333,244,9.78044E+12
unauthorized harry potter book seven news: "half-blood prince" analysis and speculation,w. frederick zimmerman,nimble books,2005,152,3.941772451,19,1,9.78098E+12
the ultimate hitchhiker's guide: five complete novels and one story (hitchhiker's guide to the galaxy  #1-5),douglas adams,gramercy books,2005,815,4.15093346,3628,254,9.78052E+12
the ultimate hitchhiker's guide to the galaxy (hitchhiker's guide to the galaxy  #1-5),douglas adams,del rey books,2002,815,4.373116158,249558,4080,9.78035E+12
the hitchhiker's guide to the galaxy (hitchhiker's guide to the galaxy  #1),douglas adams,crown,2004,215,4.095948327,4930,460,9.7814E+12
the hitchhiker's guide to the galaxy (hitchhiker's guide to the galaxy  #1),douglas adams,random house audio,2005,6,4.009497222,1266,253,9.78074E+12
the ultimate hitchhiker's guide (hitchhiker's guide to the galaxy  #1-5),douglas adams,wings books,1996,815,4.125887749,2877,195,9.78052E+12
a short history of nearly everything,bill bryson,broadway books,2004,544,4.205775787,248558,9396,9.78077E+12
bill bryson's african diary,bill bryson,broadway books,2002,55,3.618190363,7270,499,9.78077E+12
bryson's dictionary of troublesome words: a writer's guide to getting it right,bill bryson,broadway books,2004,256,3.917753239,2088,131,9.78077E+12
in a sunburned country,bill bryson,broadway books,2001,335,4.063354499,72451,4245,9.78077E+12
i'm a stranger here myself: notes on returning to america after twenty years away,bill bryson,broadway books,2000,304,3.903204348,49240,2211,9.78077E+12
the lost continent: travels in small town america,bill bryson,william morrow paperbacks,1990,299,3.83905336,45712,2257,9.78006E+12
neither here nor there: travels in europe,bill bryson,william morrow paperbacks,1993,254,3.866267229,48701,2238,9.78038E+12
notes from a small island,bill bryson,william morrow paperbacks,1997,324,3.911544393,80609,3301,9.78038E+12
the mother tongue: english and how it got that way,bill bryson,william morrow paperbacks,1991,270,3.931564768,28489,2085,9.78038E+12
j.r.r. tolkien 4-book boxed set: the hobbit and the lord of the rings,j.r.r. tolkien,ballantine books,2012,1728,4.565446508,101233,1550,9.78035E+12
the lord of the rings (the lord of the rings  #1-3),j.r.r. tolkien,houghton mifflin harcourt,2004,1184,4.109866107,1710,91,9.78062E+12
the lord of the rings (the lord of the rings  #1-3),j.r.r. tolkien,houghton mifflin harcourt,2002,1216,4.103467733,1618,140,9.78062E+12
the lord of the rings: weapons and warfare,chris   smith,houghton mifflin harcourt,2003,218,4.431563165,19822,46,9.78062E+12
the lord of the rings: complete visual companion,jude fisher,houghton mifflin harcourt,2004,224,3.988717095,359,6,9.78062E+12
agile web development with rails: a pragmatic guide,dave thomas,pragmatic bookshelf,2005,558,3.915636084,1430,59,9.78098E+12
hatchet (brian's saga  #1),gary paulsen,atheneum books for young readers: richard jackson books,2000,208,3.723241959,270244,12017,9.78069E+12
hatchet: a guide for using "hatchet" in the classroom,donna ickes,teacher created resources,1994,48,3.943244759,36,2,9.78156E+12
guts: the true stories behind hatchet and the brian books,gary paulsen,delacorte press,2001,144,3.921330438,2067,334,9.78039E+12
hatchet jobs: writings on contemporary fiction,dale peck,the new press,2005,228,3.93080785,99,16,9.7816E+12
a changeling for all seasons (changeling seasons #1),angela knight,changeling press,2005,304,3.935394747,167,4,9.7816E+12
changeling (changeling  #1),delia sherman,viking juvenile,2006,256,3.875284247,978,111,9.78067E+12
the changeling sea,patricia a. mckillip,firebird,2003,137,4.004576654,4454,302,9.78014E+12
the changeling,zilpha keatley snyder,iuniverse,2004,228,3.994452472,1176,96,9.7806E+12
the changeling,kate horsley,shambhala,2005,339,3.915194193,301,43,9.78159E+12
the changeling (daughters of england  #15),philippa carr,ivy books,1990,369,3.945697688,345,12,9.78045E+12
the known world,edward p. jones,amistad,2006,388,3.84336154,29686,2626,9.78006E+12
the known world,edward p. jones,harperaudio,2004,14,3.941200661,55,12,9.78006E+12
the known world,edward p. jones,harper,2004,576,3.942114957,22,3,9.78006E+12
traders  guns & money: knowns and unknowns in the dazzling world of derivatives,satyajit das,ft press,2006,334,3.912602356,1456,82,9.78027E+12
artesia: adventures in the known world,mark smylie,archaia,2005,352,3.94514111,52,4,9.78193E+12
the john mcphee reader (john mcphee reader  #1),john mcphee,farrar  straus and giroux,1982,416,4.001636638,562,37,9.78037E+12
uncommon carriers,john mcphee,farrar straus giroux,2006,248,3.944840009,1630,203,9.78037E+12
heirs of general practice,john mcphee,farrar  straus and giroux,1986,128,3.957031785,268,22,9.78037E+12
the control of nature,john mcphee,farrar  straus and giroux,1990,288,4.081570791,3498,305,9.78037E+12
annals of the former world,john mcphee,farrar  straus and giroux,1999,720,4.11686497,3115,228,9.78037E+12
coming into the country,john mcphee,farrar  straus and giroux,1991,448,4.105851375,5704,261,9.78037E+12
giving good weight,john mcphee,farrar  straus and giroux,1994,288,3.977076185,542,36,9.78037E+12
rising from the plains,john mcphee,farrar  straus and giroux,1987,208,4.014972545,1341,98,9.78037E+12
the heidi chronicles,wendy wasserstein,dramatists play service,2002,81,3.89208115,1423,70,9.78082E+12
